"","V1"
"1",-1.83117405666657
"2",-0.666936470000022
"3",-0.89214327
"4",-1.54449396666667
"5",-4.05253199333387
"6",-0.935789703333434
"7",-1.83126574000008
"8",-2.51465032666636
"9",-0.411390996666674
"10",-0.737685263333323
"11",-0.844621873333363
"12",-0.609305333333321
"13",-1.15644750666662
"14",-3.05108050333392
"15",-2.25770326999975
"16",-1.05079051333338
"17",-1.50272699000003
"18",-0.503063379999966
"19",-5.62063536666736
"20",0.00677853333333462
"21",-0.785702986666663
"22",0.0252436833333342
"23",-1.65713543666668
"24",-1.21221025333337
"25",-7.25506702333501
"26",-0.851361476666731
