"","V1"
"1",4.07919611526847
"2",2.03669525624907
"3",4.87961079199847
"4",2.76419674663581
"5",4.53828191481332
"6",-0.717979934663482
"7",5.10995178923869
"8",2.65729772078947
"9",11.5591270917119
"10",-1.00345271329594
"11",1.94078990174993
"12",2.40322560044108
"13",5.13036001965997
"14",1.81471809973707
"15",3.42622707042869
"16",2.67548241793755
"17",2.86459204572676
"18",4.98890309541472
"19",-2.53906624496995
"20",2.65990412687673
"21",1.49229397941995
"22",4.53086604934031
"23",-1.13664297536593
"24",5.36241536846365
"25",1.09435598778814
"26",3.38865067860556
