"","V1"
"1",3.08660900000004
"2",3.86259299999998
"3",3.94533933333343
"4",2.9238986666667
"5",3.83053233333328
"6",3.50627399999998
"7",3.67386800000006
"8",3.02492666666669
"9",2.11725033333327
"10",4.0860313333333
"11",4.47575133333329
"12",3.62706466666669
"13",3.10372633333336
"14",3.20697033333336
"15",2.68986733333336
"16",3.537111
"17",3.25690400000002
"18",3.44273766666666
"19",3.42815333333333
"20",3.61896199999999
"21",2.74204366666669
"22",3.0532236666667
"23",4.01806233333332
"24",3.64305466666668
"25",3.408173
"26",3.25317800000002
