"","V1"
"1",-6.27604061413297
"2",0.593461147145963
"3",-4.75685247224585
"4",4.28386171571884
"5",-3.17764379684972
"6",4.82460699795107
"7",-4.98245745303129
"8",-3.15493433628394
"9",0.604588476113212
"10",-3.65323825842182
"11",5.88115980640022
"12",4.49125298789161
"13",82.9130131805298
"14",1.4563794534295
"15",-3.76574025378889
"16",-1.68452917122788
"17",-6.41999191043693
"18",0.135689821576696
"19",-7.53783299638365
"20",11.0994898670206
"21",7.4893496316915
"22",-2.78828709876826
"23",0.3326440392664
"24",0.163248086484165
"25",-20.223360927829
"26",1.69863145991892
