"","V1"
"1",-3.2293878285148
"2",-0.208505305868273
"3",-0.722356246885816
"4",-3.07611391887323
"5",-4.41715131137172
"6",0.03924532671101
"7",-0.191615239848933
"8",-0.113012153845574
"9",-0.0789652179972166
"10",1.05132838507659
"11",0.345878916405418
"12",1.34823690092546
"13",-0.729142227406561
"14",-3.44443843228046
"15",-17.3915326801893
"16",-0.467650072644018
"17",-0.0764431862808377
"18",-0.559420866667383
"19",-4.31012842161037
"20",0.356365174355875
"21",-0.306398560425567
"22",-0.392849507311027
"23",0.244630578800585
"24",0.49272169881399
"25",-11.1024355555947
"26",-0.160860247473199
