"","V1"
"1",-1.70626808666651
"2",-0.617123116666717
"3",-0.237823603333358
"4",-0.76929955000003
"5",-4.58608026000062
"6",-0.341861686666611
"7",-1.79543696333326
"8",-1.23762462666659
"9",-0.0229730166666671
"10",-0.0300445033333334
"11",-0.385407566666683
"12",-0.461826433333346
"13",-0.686780416666643
"14",-0.156127859999954
"15",-2.82109654333324
"16",-2.20438251333315
"17",-1.97515828666681
"18",0.535986386666666
"19",-6.00977857333403
"20",-0.751159256666774
"21",0.980100976666659
"22",0.957526296666653
"23",-0.759788666666682
"24",-0.966630476666571
"25",-6.93519714000142
"26",-3.36617211666709
