"","V1"
"1",-4.46243781373484
"2",-0.989321317025593
"3",-1.46608470207197
"4",-3.95949957470946
"5",-4.54127671264767
"6",1.4025068802005
"7",-1.30652327958533
"8",6.84520145527263
"9",-0.691233729339313
"10",0.448539211111405
"11",0.780091928694251
"12",1.33787402085695
"13",-1.30913834929951
"14",-3.47344747654951
"15",-20.6604334007097
"16",-0.579922991653716
"17",1.05198724558066
"18",-0.599172989711844
"19",-4.31927817414302
"20",3.16630654820369
"21",0.546841678307024
"22",-0.68069671710734
"23",0.782164824957989
"24",-0.0187235596817126
"25",-14.034973429546
"26",-0.36934957566843
