"","V1"
"1",0.286715495503516
"2",3.62439993248585
"3",6.0517322298002
"4",6.64416602019378
"5",4.80986449447972
"6",-10.0691431691578
"7",9.07108929041206
"8",3.33374122857547
"9",2.11902693532821
"10",-0.978317054976506
"11",5.55595477511857
"12",0.815642794803
"13",4.10189835595136
"14",4.17625068314238
"15",2.33186841881349
"16",7.07981867838654
"17",3.66509588743937
"18",10.8277377344374
"19",-1.10516015981434
"20",8.61730572781242
"21",-6.95374542976423
"22",-8.47308086688224
"23",-0.493125425632989
"24",1.27757791398227
"25",5.08118720026123
"26",6.57190313011902
